index,r,g,b,soundFreq,octave,note,noteClass,audioClass
0,97,0,0,22.48,0,5,F,lowBass,
1,255,0,0,44.95,1,5,F,midBass,
2,255,136,0,89.91,2,5,F,highBass,
3,255,238,0,179.81,3,5,F,lowMidrange,
4,111,255,0,359.61,4,5,F,midMidrange,
5,0,191,255,719.23,5,5,F,highMidrange,
6,0,98,255,1438.23,6,5,F,lowTreble,
7,128,0,219,2876.9,7,5,F,midTreble,
8,130,0,181,5753.78,8,5,F,highTreble,
9,97,0,0,22.48,0,5,F,lowBass,
10,255,0,0,44.95,1,5,F,midBass,
11,255,137,0,89.8,2,5,F,highBass,
12,255,239,0,179.7,3,5,F,lowMidrange,
13,112,255,0,359.5,4,5,F,midMidrange,
14,0,192,255,719.12,5,5,F,highMidrange,
15,0,97,255,1438.34,6,5,F,lowTreble,
16,126,0,219,2877.12,7,5,F,midTreble,
17,131,0,181,5753.67,8,5,F,highTreble,
18,15,0,0,16.35,0,0,C,lowBass,
19,31,0,0,17.32,0,1,C#,lowBass,
20,45,0,0,18.35,0,2,D,lowBass,
21,61,0,0,19.45,0,3,D#,lowBass,
22,76,0,0,20.6,0,4,E,lowBass,
23,91,0,0,21.83,0,5,F,lowBass,
24,107,0,0,23.12,0,6,F#,lowBass,
25,121,0,0,24.5,0,7,G,lowBass,
26,137,0,0,25.96,0,8,G#,lowBass,
27,152,0,0,27.5,0,9,A,lowBass,
28,167,0,0,29.14,0,10,A#,lowBass,
29,183,0,0,30.87,0,11,B,lowBass,
30,40,0,0,32.7,1,0,C,midBass,
31,80,0,0,34.65,1,1,C#,midBass,
32,120,0,0,36.71,1,2,D,midBass,
33,160,0,0,38.89,1,3,D#,midBass,
34,200,0,0,41.2,1,4,E,midBass,
35,240,0,0,43.65,1,5,F,midBass,
36,255,25,25,46.25,1,6,F#,midBass,
37,255,65,65,49.0,1,7,G,midBass,
38,255,105,105,55.91,1,8,G#,midBass,
39,255,145,145,55.0,1,7,G,midBass,
40,255,185,185,58.27,1,10,A#,midBass,
41,255,225,225,61.74,1,11,B,midBass,
42,40,21,0,65.41,2,0,C,highBass,
43,80,43,0,69.3,2,1,C#,highBass,
44,120,64,0,73.42,2,2,D,highBass,
45,160,85,0,77.78,2,3,D#,highBass,
46,200,107,0,82.41,2,4,E,highBass,
47,240,128,0,87.31,2,5,F,highBass,
48,255,148,25,92.5,2,6,F#,highBass,
49,255,166,65,98.0,2,7,G,highBass,
50,255,185,105,103.83,2,8,G#,highBass,
51,255,204,145,110.0,2,8,G#,highBass,
52,255,222,185,116.54,2,10,A#,highBass,
53,255,241,225,123.47,2,10,A#,highBass,
54,40,37,0,130.81,3,0,C,lowMidrange,
55,80,75,0,138.59,3,1,C#,lowMidrange,
56,120,112,0,146.83,3,2,D,lowMidrange,
57,160,150,0,155.56,3,3,D#,lowMidrange,
58,200,187,0,164.81,3,4,E,lowMidrange,
59,240,224,0,174.61,3,5,F,lowMidrange,
60,255,240,25,185.0,3,6,F#,lowMidrange,
61,255,242,65,196.0,3,7,G,lowMidrange,
62,255,245,105,207.65,3,8,G#,lowMidrange,
63,255,248,145,220.0,3,8,G#,lowMidrange,
64,255,250,185,233.08,3,10,A#,lowMidrange,
65,255,253,225,246.94,3,11,B,lowMidrange,
66,17,40,0,261.63,4,0,C,midMidrange,
67,35,80,0,277.18,4,1,C#,midMidrange,
68,52,120,0,293.66,4,2,D,midMidrange,
69,69,160,0,311.13,4,3,D#,midMidrange,
70,87,200,0,329.63,4,4,E,midMidrange,
71,104,240,0,349.23,4,5,F,midMidrange,
72,125,255,25,369.99,4,6,F#,midMidrange,
73,147,255,65,392.0,4,7,G,midMidrange,
74,170,255,105,415.3,4,8,G#,midMidrange,
75,193,255,145,440.0,4,8,G#,midMidrange,
76,215,255,185,466.16,4,9,A,midMidrange,
77,238,255,225,493.88,4,10,A#,midMidrange,
78,0,30,40,523.25,5,0,C,highMidrange,
79,0,60,80,554.37,5,1,C#,highMidrange,
80,0,90,120,587.33,5,2,D,highMidrange,
81,0,120,160,622.25,5,3,D#,highMidrange,
82,0,150,200,659.25,5,4,E,highMidrange,
83,0,180,240,698.46,5,5,F,highMidrange,
84,25,197,255,739.99,5,6,F#,highMidrange,
85,65,207,255,783.99,5,7,G,highMidrange,
86,105,217,255,830.61,5,8,G#,highMidrange,
87,145,227,255,880.0,5,8,G#,highMidrange,
88,185,238,255,932.33,5,10,A#,highMidrange,
89,225,247,255,987.77,5,11,B,highMidrange,
90,0,15,40,1046.5,6,0,C,lowTreble,
91,0,31,80,1108.73,6,1,C#,lowTreble,
92,0,46,120,1174.66,6,2,D,lowTreble,
93,0,61,160,1244.51,6,3,D#,lowTreble,
94,0,77,200,1318.51,6,4,E,lowTreble,
95,0,92,240,1396.91,6,5,F,lowTreble,
96,25,113,255,1479.98,6,6,F#,lowTreble,
97,65,138,255,1567.98,6,7,G,lowTreble,
98,105,163,255,1661.22,6,8,G#,lowTreble,
99,145,187,255,1760.0,6,8,G#,lowTreble,
100,185,212,255,1864.66,6,10,A#,lowTreble,
101,225,236,255,1975.53,6,11,B,lowTreble,
102,20,0,34,2093.0,7,0,C,midTreble,
103,40,0,69,2217.46,7,1,C#,midTreble,
104,60,0,103,2349.32,7,2,D,midTreble,
105,80,0,137,2489.0,7,3,D#,midTreble,
106,100,0,171,2637.0,7,4,E,midTreble,
107,120,0,206,2793.83,7,5,F,midTreble,
108,140,0,240,2959.96,7,6,F#,midTreble,
109,157,19,255,3135.96,7,7,G,midTreble,
110,171,54,255,3322.44,7,8,G#,midTreble,
111,186,88,255,3520.0,7,8,G#,midTreble,
112,200,122,255,3729.31,7,10,A#,midTreble,
113,214,157,255,3951.0,7,11,B,midTreble,
114,20,0,28,4186.0,8,0,C,highTreble,
115,41,0,57,4434.92,8,1,C#,highTreble,
116,61,0,85,4698.63,8,2,D,highTreble,
117,81,0,114,4978.0,8,3,D#,highTreble,
118,102,0,142,5274.0,8,4,E,highTreble,
119,122,0,170,5587.65,8,4,E,highTreble,
120,143,0,199,5919.91,8,6,F#,highTreble,
121,163,0,227,6271.93,8,7,G,highTreble,
122,183,1,255,6644.88,8,8,G#,highTreble,
123,191,29,255,7040.0,8,9,A,highTreble,
124,199,58,255,7458.62,8,10,A#,highTreble,
125,207,86,255,7902.13,8,11,B,highTreble,
126,23,0,0,16.84,0,0,C,lowBass,
127,38,0,0,17.84,0,1,C#,lowBass,
128,54,0,0,18.97,0,2,D,lowBass,
129,68,0,0,19.99,0,3,D#,lowBass,
130,84,0,0,21.26,0,4,E,lowBass,
131,99,0,0,22.48,0,5,F,lowBass,
132,114,0,0,23.81,0,6,F#,lowBass,
133,129,0,0,25.23,0,7,G,lowBass,
134,144,0,0,26.68,0,8,G#,lowBass,
135,160,0,0,28.37,0,9,A,lowBass,
136,175,0,0,30.01,0,10,A#,lowBass,
137,20,0,0,31.79,0,11,B,lowBass,
138,60,0,0,33.68,1,0,C,midBass,
139,100,0,0,35.68,1,1,C#,midBass,
140,140,0,0,37.8,1,2,D,midBass,
141,180,0,0,40.05,1,3,D#,midBass,
142,220,0,0,42.43,1,4,E,midBass,
143,255,5,5,44.65,1,5,F,midBass,
144,255,45,45,47.63,1,6,F#,midBass,
145,255,85,85,52.46,1,7,G,midBass,
146,255,125,125,55.46,1,7,G,midBass,
147,255,165,165,56.64,1,8,G#,midBass,
148,255,205,205,60.01,1,10,A#,midBass,
149,20,11,0,63.68,1,11,B,midBass,
150,60,32,0,67.36,2,0,C,highBass,
151,100,53,0,71.33,2,1,C#,highBass,
152,140,75,0,75.64,2,2,D,highBass,
153,180,96,0,80.1,2,3,D#,highBass,
154,220,117,0,84.82,2,4,E,highBass,
155,255,138,5,89.91,2,5,F,highBass,
156,255,157,45,95.25,2,6,F#,highBass,
157,255,176,85,100.96,2,7,G,highBass,
158,255,194,125,106.86,2,8,G#,highBass,
159,255,213,165,113.27,2,8,G#,highBass,
160,255,232,205,120.06,2,10,A#,highBass,
161,20,19,0,127.38,2,11,B,highBass,
162,60,56,0,134.7,3,0,C,lowMidrange,
163,100,93,0,142.66,3,1,C#,lowMidrange,
164,140,131,0,151.2,3,2,D,lowMidrange,
165,180,168,0,160.12,3,3,D#,lowMidrange,
166,220,205,0,169.65,3,4,E,lowMidrange,
167,255,238,5,180.92,3,5,F,lowMidrange,
168,255,241,45,190.5,3,6,F#,lowMidrange,
169,255,244,85,201.96,3,7,G,lowMidrange,
170,255,246,125,213.68,3,8,G#,lowMidrange,
171,255,249,165,226.54,3,8,G#,lowMidrange,
172,255,252,205,240.17,3,10,A#,lowMidrange,
173,9,20,0,254.79,3,11,B,lowMidrange,
174,26,60,0,269.41,4,0,C,midMidrange,
175,43,100,0,285.28,4,1,C#,midMidrange,
176,61,140,0,302.55,4,2,D,midMidrange,
177,78,180,0,320.38,4,3,D#,midMidrange,
178,95,220,0,339.26,4,4,E,midMidrange,
179,113,255,5,359.1,4,5,F,midMidrange,
180,136,255,45,381.0,4,6,F#,midMidrange,
181,159,255,85,403.83,4,7,G,midMidrange,
182,181,255,125,427.45,4,8,G#,midMidrange,
183,204,255,165,453.08,4,8,G#,midMidrange,
184,227,255,205,480.24,4,10,A#,midMidrange,
185,0,15,20,509.53,5,11,B,highMidrange,
186,0,45,60,538.81,5,0,C,highMidrange,
187,0,75,100,570.85,5,1,C#,highMidrange,
188,0,105,140,604.79,5,2,D,highMidrange,
189,0,135,180,640.75,5,3,D#,highMidrange,
190,0,165,220,678.86,5,4,E,highMidrange,
191,5,192,255,721.78,5,5,F,highMidrange,
192,45,202,255,761.99,5,6,F#,highMidrange,
193,85,213,255,808.23,5,7,G,highMidrange,
194,125,222,255,855.31,5,8,G#,highMidrange,
195,165,233,255,906.68,5,8,G#,highMidrange,
196,205,242,255,959.48,5,10,A#,highMidrange,
197,0,8,20,1018.55,6,11,B,lowTreble,
198,0,23,60,1077.62,6,0,C,lowTreble,
199,0,38,100,1141.1,6,1,C#,lowTreble,
200,0,54,140,1210.22,6,2,D,lowTreble,
201,0,69,180,1281.51,6,3,D#,lowTreble,
202,0,84,220,1357.0,6,4,E,lowTreble,
203,5,101,255,1436.4,6,5,F,lowTreble,
204,45,125,255,1523.3,6,6,F#,lowTreble,
205,85,150,255,1613.88,6,7,G,lowTreble,
206,125,175,255,1710.61,6,8,G#,lowTreble,
207,165,200,255,1813.14,6,8,G#,lowTreble,
208,205,224,255,1920.1,6,10,A#,lowTreble,
209,10,0,17,2038.23,7,11,B,midTreble,
210,30,0,52,2156.36,7,0,C,midTreble,
211,50,0,86,2283.39,7,1,C#,midTreble,
212,70,0,120,2419.16,7,2,D,midTreble,
213,90,0,155,2565.74,7,3,D#,midTreble,
214,110,0,189,2716.84,7,4,E,midTreble,
215,130,0,223,2876.9,7,5,F,midTreble,
216,150,3,255,3056.59,7,6,F#,midTreble,
217,164,37,255,3231.1,7,7,G,midTreble,
218,178,71,255,3419.2,7,8,G#,midTreble,
219,193,106,255,3629.02,7,8,G#,midTreble,
220,207,140,255,3842.42,7,10,A#,midTreble,
221,10,0,14,4078.93,7,11,B,midTreble,
222,31,0,43,4315.44,8,0,C,highTreble,
223,51,0,71,4566.78,8,1,C#,highTreble,
224,71,0,99,4835.46,8,2,D,highTreble,
225,92,0,128,5129.02,8,3,D#,highTreble,
226,112,0,156,5430.83,8,4,E,highTreble,
227,132,0,185,5753.78,8,5,F,highTreble,
228,152,0,213,6088.59,8,6,F#,highTreble,
229,173,0,242,6462.21,8,7,G,highTreble,
230,187,15,255,6842.44,8,8,G#,highTreble,
231,195,43,255,7243.65,8,9,A,highTreble,
232,203,71,255,7668.06,8,10,A#,highTreble,
233,97,0,0,22.48,0,5,F,lowBass,
234,255,0,0,44.95,1,5,F,midBass,
235,255,136,0,89.91,2,5,F,highBass,
236,255,238,0,179.81,3,5,F,lowMidrange,
237,111,255,0,359.61,4,5,F,midMidrange,
238,0,191,255,719.23,5,5,F,highMidrange,
239,0,98,255,1438.23,6,5,F,lowTreble,
240,128,0,219,2876.9,7,5,F,midTreble,
241,130,0,181,5753.78,8,5,F,highTreble,
242,97,0,0,22.48,0,5,F,lowBass,
243,255,0,0,44.95,1,5,F,midBass,
244,255,137,0,89.8,2,5,F,highBass,
245,255,239,0,179.7,3,5,F,lowMidrange,
246,112,255,0,359.5,4,5,F,midMidrange,
247,0,192,255,719.12,5,5,F,highMidrange,
248,0,97,255,1438.34,6,5,F,lowTreble,
249,126,0,219,2877.12,7,5,F,midTreble,
250,131,0,181,5753.67,8,5,F,highTreble,
251,15,0,0,16.35,0,0,C,lowBass,
252,31,0,0,17.32,0,1,C#,lowBass,
253,45,0,0,18.35,0,2,D,lowBass,
254,61,0,0,19.45,0,3,D#,lowBass,
255,76,0,0,20.6,0,4,E,lowBass,
256,91,0,0,21.83,0,5,F,lowBass,
257,107,0,0,23.12,0,6,F#,lowBass,
258,121,0,0,24.5,0,7,G,lowBass,
259,137,0,0,25.96,0,8,G#,lowBass,
260,152,0,0,27.5,0,9,A,lowBass,
261,167,0,0,29.14,0,10,A#,lowBass,
262,183,0,0,30.87,0,11,B,lowBass,
263,40,0,0,32.7,1,0,C,midBass,
264,80,0,0,34.65,1,1,C#,midBass,
265,120,0,0,36.71,1,2,D,midBass,
266,160,0,0,38.89,1,3,D#,midBass,
267,200,0,0,41.2,1,4,E,midBass,
268,240,0,0,43.65,1,5,F,midBass,
269,255,25,25,46.25,1,6,F#,midBass,
270,255,65,65,49.0,1,7,G,midBass,
271,255,105,105,55.91,1,8,G#,midBass,
272,255,145,145,55.0,1,7,G,midBass,
273,255,185,185,58.27,1,10,A#,midBass,
274,255,225,225,61.74,1,11,B,midBass,
275,40,21,0,65.41,2,0,C,highBass,
276,80,43,0,69.3,2,1,C#,highBass,
277,120,64,0,73.42,2,2,D,highBass,
278,160,85,0,77.78,2,3,D#,highBass,
279,200,107,0,82.41,2,4,E,highBass,
280,240,128,0,87.31,2,5,F,highBass,
281,255,148,25,92.5,2,6,F#,highBass,
282,255,166,65,98.0,2,7,G,highBass,
283,255,185,105,103.83,2,8,G#,highBass,
284,255,204,145,110.0,2,8,G#,highBass,
285,255,222,185,116.54,2,10,A#,highBass,
286,255,241,225,123.47,2,10,A#,highBass,
287,40,37,0,130.81,3,0,C,lowMidrange,
288,80,75,0,138.59,3,1,C#,lowMidrange,
289,120,112,0,146.83,3,2,D,lowMidrange,
290,160,150,0,155.56,3,3,D#,lowMidrange,
291,200,187,0,164.81,3,4,E,lowMidrange,
292,240,224,0,174.61,3,5,F,lowMidrange,
293,255,240,25,185.0,3,6,F#,lowMidrange,
294,255,242,65,196.0,3,7,G,lowMidrange,
295,255,245,105,207.65,3,8,G#,lowMidrange,
296,255,248,145,220.0,3,8,G#,lowMidrange,
297,255,250,185,233.08,3,10,A#,lowMidrange,
298,255,253,225,246.94,3,11,B,lowMidrange,
299,17,40,0,261.63,4,0,C,midMidrange,
300,35,80,0,277.18,4,1,C#,midMidrange,
301,52,120,0,293.66,4,2,D,midMidrange,
302,69,160,0,311.13,4,3,D#,midMidrange,
303,87,200,0,329.63,4,4,E,midMidrange,
304,104,240,0,349.23,4,5,F,midMidrange,
305,125,255,25,369.99,4,6,F#,midMidrange,
306,147,255,65,392.0,4,7,G,midMidrange,
307,170,255,105,415.3,4,8,G#,midMidrange,
308,193,255,145,440.0,4,8,G#,midMidrange,
309,215,255,185,466.16,4,9,A,midMidrange,
310,238,255,225,493.88,4,10,A#,midMidrange,
311,0,30,40,523.25,5,0,C,highMidrange,
312,0,60,80,554.37,5,1,C#,highMidrange,
313,0,90,120,587.33,5,2,D,highMidrange,
314,0,120,160,622.25,5,3,D#,highMidrange,
315,0,150,200,659.25,5,4,E,highMidrange,
316,0,180,240,698.46,5,5,F,highMidrange,
317,25,197,255,739.99,5,6,F#,highMidrange,
318,65,207,255,783.99,5,7,G,highMidrange,
319,105,217,255,830.61,5,8,G#,highMidrange,
320,145,227,255,880.0,5,8,G#,highMidrange,
321,185,238,255,932.33,5,10,A#,highMidrange,
322,225,247,255,987.77,5,11,B,highMidrange,
323,0,15,40,1046.5,6,0,C,lowTreble,
324,0,31,80,1108.73,6,1,C#,lowTreble,
325,0,46,120,1174.66,6,2,D,lowTreble,
326,0,61,160,1244.51,6,3,D#,lowTreble,
327,0,77,200,1318.51,6,4,E,lowTreble,
328,0,92,240,1396.91,6,5,F,lowTreble,
329,25,113,255,1479.98,6,6,F#,lowTreble,
330,65,138,255,1567.98,6,7,G,lowTreble,
331,105,163,255,1661.22,6,8,G#,lowTreble,
332,145,187,255,1760.0,6,8,G#,lowTreble,
333,185,212,255,1864.66,6,10,A#,lowTreble,
334,225,236,255,1975.53,6,11,B,lowTreble,
335,20,0,34,2093.0,7,0,C,midTreble,
336,40,0,69,2217.46,7,1,C#,midTreble,
337,60,0,103,2349.32,7,2,D,midTreble,
338,80,0,137,2489.0,7,3,D#,midTreble,
339,100,0,171,2637.0,7,4,E,midTreble,
340,120,0,206,2793.83,7,5,F,midTreble,
341,140,0,240,2959.96,7,6,F#,midTreble,
342,157,19,255,3135.96,7,7,G,midTreble,
343,171,54,255,3322.44,7,8,G#,midTreble,
344,186,88,255,3520.0,7,8,G#,midTreble,
345,200,122,255,3729.31,7,10,A#,midTreble,
346,214,157,255,3951.0,7,11,B,midTreble,
347,20,0,28,4186.0,8,0,C,highTreble,
348,41,0,57,4434.92,8,1,C#,highTreble,
349,61,0,85,4698.63,8,2,D,highTreble,
350,81,0,114,4978.0,8,3,D#,highTreble,
351,102,0,142,5274.0,8,4,E,highTreble,
352,122,0,170,5587.65,8,4,E,highTreble,
353,143,0,199,5919.91,8,6,F#,highTreble,
354,163,0,227,6271.93,8,7,G,highTreble,
355,183,1,255,6644.88,8,8,G#,highTreble,
356,191,29,255,7040.0,8,9,A,highTreble,
357,199,58,255,7458.62,8,10,A#,highTreble,
358,207,86,255,7902.13,8,11,B,highTreble,
359,23,0,0,16.84,0,0,C,lowBass,
360,38,0,0,17.84,0,1,C#,lowBass,
361,54,0,0,18.97,0,2,D,lowBass,
362,68,0,0,19.99,0,3,D#,lowBass,
363,84,0,0,21.26,0,4,E,lowBass,
364,99,0,0,22.48,0,5,F,lowBass,
365,114,0,0,23.81,0,6,F#,lowBass,
366,129,0,0,25.23,0,7,G,lowBass,
367,144,0,0,26.68,0,8,G#,lowBass,
368,160,0,0,28.37,0,9,A,lowBass,
369,175,0,0,30.01,0,10,A#,lowBass,
370,20,0,0,31.79,0,11,B,lowBass,
371,60,0,0,33.68,1,0,C,midBass,
372,100,0,0,35.68,1,1,C#,midBass,
373,140,0,0,37.8,1,2,D,midBass,
374,180,0,0,40.05,1,3,D#,midBass,
375,220,0,0,42.43,1,4,E,midBass,
376,255,5,5,44.65,1,5,F,midBass,
377,255,45,45,47.63,1,6,F#,midBass,
378,255,85,85,52.46,1,7,G,midBass,
379,255,125,125,55.46,1,7,G,midBass,
380,255,165,165,56.64,1,8,G#,midBass,
381,255,205,205,60.01,1,10,A#,midBass,
382,20,11,0,63.68,1,11,B,midBass,
383,60,32,0,67.36,2,0,C,highBass,
384,100,53,0,71.33,2,1,C#,highBass,
385,140,75,0,75.64,2,2,D,highBass,
386,180,96,0,80.1,2,3,D#,highBass,
387,220,117,0,84.82,2,4,E,highBass,
388,255,138,5,89.91,2,5,F,highBass,
389,255,157,45,95.25,2,6,F#,highBass,
390,255,176,85,100.96,2,7,G,highBass,
391,255,194,125,106.86,2,8,G#,highBass,
392,255,213,165,113.27,2,8,G#,highBass,
393,255,232,205,120.06,2,10,A#,highBass,
394,20,19,0,127.38,2,11,B,highBass,
395,60,56,0,134.7,3,0,C,lowMidrange,
396,100,93,0,142.66,3,1,C#,lowMidrange,
397,140,131,0,151.2,3,2,D,lowMidrange,
398,180,168,0,160.12,3,3,D#,lowMidrange,
399,220,205,0,169.65,3,4,E,lowMidrange,
400,255,238,5,180.92,3,5,F,lowMidrange,
401,255,241,45,190.5,3,6,F#,lowMidrange,
402,255,244,85,201.96,3,7,G,lowMidrange,
403,255,246,125,213.68,3,8,G#,lowMidrange,
404,255,249,165,226.54,3,8,G#,lowMidrange,
405,255,252,205,240.17,3,10,A#,lowMidrange,
406,9,20,0,254.79,3,11,B,lowMidrange,
407,26,60,0,269.41,4,0,C,midMidrange,
408,43,100,0,285.28,4,1,C#,midMidrange,
409,61,140,0,302.55,4,2,D,midMidrange,
410,78,180,0,320.38,4,3,D#,midMidrange,
411,95,220,0,339.26,4,4,E,midMidrange,
412,113,255,5,359.1,4,5,F,midMidrange,
413,136,255,45,381.0,4,6,F#,midMidrange,
414,159,255,85,403.83,4,7,G,midMidrange,
415,181,255,125,427.45,4,8,G#,midMidrange,
416,204,255,165,453.08,4,8,G#,midMidrange,
417,227,255,205,480.24,4,10,A#,midMidrange,
418,0,15,20,509.53,5,11,B,highMidrange,
419,0,45,60,538.81,5,0,C,highMidrange,
420,0,75,100,570.85,5,1,C#,highMidrange,
421,0,105,140,604.79,5,2,D,highMidrange,
422,0,135,180,640.75,5,3,D#,highMidrange,
423,0,165,220,678.86,5,4,E,highMidrange,
424,5,192,255,721.78,5,5,F,highMidrange,
425,45,202,255,761.99,5,6,F#,highMidrange,
426,85,213,255,808.23,5,7,G,highMidrange,
427,125,222,255,855.31,5,8,G#,highMidrange,
428,165,233,255,906.68,5,8,G#,highMidrange,
429,205,242,255,959.48,5,10,A#,highMidrange,
430,0,8,20,1018.55,6,11,B,lowTreble,
